feature_id,feature_label,omics_layer,original_primary_candidate_tier,evidence_tier,recalculated_manuscript_evidence_tier,tier_match_flag,tier_mismatch_reason,source_status,notes
metabolite__Butyric_acid,Butyric acid,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Deoxycarnitine,Deoxycarnitine,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Deoxycholate,Deoxycholate,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Isobutyric_acid,Isobutyric acid,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Lysine,Lysine,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Phenylacetic_acid,Phenylacetic acid,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__Phenylalanine,Phenylalanine,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolite__p-Hydroxyphenylacetic_acid,p-Hydroxyphenylacetic acid,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__kSGB_4262:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus_s__Ruminococcus_bicirculans_t__SGB4262__dup7,kSGB_4262:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans|t__SGB4262,microbiome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolome::metabolite__hydroxy_stearic_acid-C18:1,metabolome::metabolite__hydroxy_stearic_acid-C18:1,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbiome::microbe__hydroxy_stearic_acid-C18:1,microbiome::microbe__hydroxy_stearic_acid-C18:1,microbiome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__uSGB_15260:Family:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__GGB9715_s__GGB9715_SGB15260_t__SGB15260__dup5,uSGB_15260:Family:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9715|s__GGB9715_SGB15260|t__SGB15260,microbiome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
microbe__kSGB_15286:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Subdoligranulum_s__Subdoligranulum_sp_APC924_74_t__SGB15286__dup2,kSGB_15286:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_sp_APC924_74|t__SGB15286,microbiome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
metabolome::metabolite__cholic_acid-C14:0,metabolome::metabolite__cholic_acid-C14:0,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,Evidence Tier I,Evidence Tier I,True,,derived_from_supplementary_table; not_original_training_script,"Authoritative public tier maps recovered S4/S5 primary candidate tier: Tier3->I, Tier4->II, Tier5->III."
