task,modality,positive_class,negative_class,n_samples,n_positive,n_negative,n_subjects,n_folds,AUROC,AUPRC,metric_status,cv_type,subject_grouped,no_subject_overlap_passed,model_type,notes
CD vs UC,metabolome,CD,UC,283,102,181,79,5,0.7161195970100748,0.5243322062597733,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
CD vs UC,microbiome,CD,UC,283,102,181,79,5,0.6509587260318492,0.4878255136293036,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
CD vs UC,paired_late_fusion,CD,UC,283,102,181,79,5,0.6800454988625284,0.5069760757801282,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
CD vs nonIBD,metabolome,CD,nonIBD,286,181,105,75,5,0.7836358852933438,0.846437293078581,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
CD vs nonIBD,microbiome,CD,nonIBD,286,181,105,75,5,0.43764798737174426,0.5871356131176718,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
CD vs nonIBD,paired_late_fusion,CD,nonIBD,286,181,105,75,5,0.7625887924230466,0.8220752184519122,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
UC vs nonIBD,metabolome,UC,nonIBD,207,102,105,56,5,0.8563958916900094,0.9033806422331268,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
UC vs nonIBD,microbiome,UC,nonIBD,207,102,105,56,5,0.5224556489262371,0.5484874805875788,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
UC vs nonIBD,paired_late_fusion,UC,nonIBD,207,102,105,56,5,0.8205415499533146,0.8802767116043038,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
nonIBD vs IBD,metabolome,IBD,nonIBD,388,283,105,105,5,0.7550731953558808,0.875988101535276,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
nonIBD vs IBD,microbiome,IBD,nonIBD,388,283,105,105,5,0.45650344943631166,0.7191876880770113,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
nonIBD vs IBD,paired_late_fusion,IBD,nonIBD,388,283,105,105,5,0.7767457513040552,0.9127701879878828,recomputed_from_recovered_oof_predictions,subject-grouped cross-validation reconstructed from OOF fold membership,True,True,ridge_logistic_regression_l2_recovered_oof,Metrics recomputed by this package from recovered OOF probabilities.
