core_fact,expected_value,revised_manuscript,revised_cover_letter,revised_figures,revised_supplementary,status,evidence_locations,final_action,risky_phrase_justification
491 included records,491,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
204 human evidence rows,204,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
248 mixed/non-human/mechanistic-context,248,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
39 audit-only records,39,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
499 candidate features,499,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
345 microbiome,345,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
154 metabolome,154,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
Tier I/II/III,15/313/171,synchronized,synchronized,synchronized,synchronized,rule-based tiering scope,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
Tier I metabolome/microbiome,10/5,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
HMP2/IBDMDB paired samples,388,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
participants,105,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
CD/UC/non-IBD,181/102/105,synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
raw metabolomics,"81,867",synchronized,synchronized,synchronized,synchronized,confirmed,manuscript; supplementary tables; prior audit; deterministic resolution matrix,"confirmed, removed, or downgraded to supported level",Retained validation-related wording is negative/scope-limiting only where present.
