source_item,dataset_or_table,accession_or_identifier,PMID_or_DOI,source_url_or_database,local_processed_file,generating_script,sha256,public_release_status,notes
491 literature evidence table,Supplementary Table S3 / repaired evidence map,,,curated literature evidence map,data/figure_source_data/figure2_491_evidence_map_master_table_repaired.csv,scripts/figures/build_figure2.py,,release_ready_summary_table,Raw PDFs are not redistributed.
HMP2 / IBDMDB data,Processed HMP2/IBDMDB matrices,HMP2 / IBDMDB,,original public/controlled source,data/processed/hmp2_microbiome_processed_matrix.csv; data/processed/hmp2_metabolome_processed_matrix.csv,scripts/06_prepare_hmp2_matrices.py,,processed_or_audit_level_reproducibility,Raw source files and sensitive clinical metadata are not redistributed.
ST001000,External metabolomics projection audit,ST001000,,Metabolomics Workbench / ST001000,data/external_ST001000/st001000_feature_matching_table.csv; data/external_ST001000/st001000_performance_summary.csv,scripts/11_match_st001000_features.py; scripts/12_project_st001000_locked_model.py; scripts/13_evaluate_st001000_projection.py,,summary_level_projection_only,Raw ST001000 matrices are not redistributed; strict AUROC/AUPRC not independently recomputed.
Intermediate matrices,Processed HMP2 matrices and candidate audit tables,,,local processed audit package,data/processed/,scripts/01_score_six_dimensions.py; scripts/05_build_499_candidate_atlas.py,,processed_or_audit_level_reproducibility,"No raw 81,867 metabolomics matrix is redistributed."
Figure panel source data,Figure 1-6/supplementary source status,,,project figure source audit,data/figure_source_data/figure_source_data_status.csv,scripts/figures/,,release_ready_or_manual_review_required,Large final TIFF/PDF/SVG artwork is excluded.
Six-dimensional evidence scoring,S4/S5-derived six-dimensional scores and tier rules,,,local processed audit package,data/processed/six_dimension_scores.csv; data/processed/tier_rule_definitions_recovered.csv; data/processed/tier_assignment_table.csv,scripts/01_score_six_dimensions.py; scripts/02_assign_evidence_tiers.py,,processed_or_audit_level_reproducibility,Authoritative original_primary_candidate_tier mapping preserved; recalculation mismatch columns retained where present.
Candidate feature atlas,S5-derived candidate filtering and retention audit,,,local processed audit package,data/processed/candidate_499_master_table.csv; data/processed/candidate_retention_audit.csv; data/processed/candidate_filtering_chain_summary.csv,scripts/03_filter_metabolomics_features.py; scripts/04_filter_microbiome_taxa.py; scripts/05_build_499_candidate_atlas.py,,processed_or_audit_level_reproducibility,"Documents 499 candidates, including 345 microbiome and 154 metabolome candidates; raw matrix not redistributed."
Feature filtering audit,Metabolomics and microbiome filtering traces,,,local processed audit package,data/processed/metabolite_filter_audit.csv; data/processed/microbiome_filter_audit.csv; data/processed/feature_filtering_trace.csv,scripts/03_filter_metabolomics_features.py; scripts/04_filter_microbiome_taxa.py,,processed_or_audit_level_reproducibility,Audit tables document filtering/retention logic without redistributing restricted raw matrices.
Internal model outputs,HMP2/IBDMDB internal prediction and curve outputs,HMP2 / IBDMDB,,recovered internal model package,data/processed/internal_prediction_scores.csv; data/processed/internal_roc_pr_curves.csv; data/processed/internal_cv_splits.csv; data/processed/internal_model_coefficients.csv,scripts/07_train_internal_models.py; scripts/08_grouped_cross_validation.py; scripts/09_evaluate_internal_models.py,,processed_or_audit_level_reproducibility,Recovered internal-model outputs and grouped-CV audit tables are redistributed as processed tables.
Locked model coefficients,Recoverable locked coefficient/intercept/scaling tables,,,locked scoring package,data/model_coefficients/locked_metabolome_coefficients.csv; data/model_coefficients/locked_microbiome_coefficients.csv; data/model_coefficients/locked_late_fusion_coefficients.csv; data/model_coefficients/locked_model_intercepts.csv; data/model_coefficients/locked_scaling_parameters.csv; data/model_coefficients/locked_feature_manifest.csv,scripts/10_score_new_samples.py,,partial_strict_subset_only,Missing intercepts or scaling parameters remain blank and are labeled as missing; no zero-imputation is used.
S1,Supplementary_Table_S1_Full_text_screening_inclusion_and_exclusion_records.xlsx,,,manuscript supplementary material,,,795e8af99a2dc5a1e0bd56c1493bdd2c3f39f531e85380546dcda917b3ee7a51,manual_review_required,Covered in manifest; workbook not copied by default pending manual review.
