standardized_feature_name,original_feature_name,feature_id,omics_layer,Figure Tier,functional_module,original_mechanistic_category,assigned_figure4_module,assignment_method,assignment_status,assignment_rule,direction,reported_direction,direction_consistency,evidence_strength,evidence_strength_score,disease_state,diagnosis_evidence,active_evidence,remission_evidence,relapse_evidence,post_treatment_evidence,mechanistic_support,model_support,source_comparisons,source_model_tasks,source_file,source_sheet,source_row,notes,standardized_base_feature_name
Butyric acid,Butyric acid,metabolite__Butyric_acid,metabolome,Tier I,SCFAs / butyrate-producing taxa,butyrate-producing bacteria depletion,SCFAs / butyrate-producing taxa,manual project-defined mapping,resolved,Exact source category value mapped through project table: butyrate-producing bacteria depletion,?,unclear,,moderate,2,IBD diagnostic/onset-like; active inflammatory; treatment/state-shift if microbiome,direct comparison support,limited evidence,not available,not available,limited evidence,15,15.0,metabolome_A_IBD_vs_HC,A_IBD_vs_HC;metabolome_A_IBD_vs_HC,<PROJECT_ROOT>\Figures Tables\核心指纹\04_mechanism_model_supported_features.xlsx,mechanism_model_supported,2,internal validation only unless external cohort is documented,Butyric acid
Deoxycarnitine,Deoxycarnitine,metabolite__Deoxycarnitine,metabolome,Tier I,Bile acids,bile acid metabolism disruption,Bile acids,manual project-defined mapping,resolved,Exact source category value mapped through project table: bile acid metabolism disruption,?,unclear,,moderate,2,IBD diagnostic/onset-like; active inflammatory; residual/remission risk hypothesis,direct comparison support,limited evidence,limited evidence,not available,not available,15,15.0,metabolome_A_IBD_vs_HC,metabolome_A_IBD_vs_HC,<PROJECT_ROOT>\Figures Tables\核心指纹\04_mechanism_model_supported_features.xlsx,mechanism_model_supported,3,internal validation only unless external cohort is documented,Deoxycarnitine
Deoxycholate,Deoxycholate,metabolite__Deoxycholate,metabolome,Tier I,Bile acids,bile acid metabolism disruption,Bile acids,manual project-defined mapping,resolved,Exact source category value mapped through project table: bile acid metabolism disruption,?,unclear,,moderate,2,IBD diagnostic/onset-like; active inflammatory; residual/remission risk hypothesis,direct comparison support,limited evidence,limited evidence,not available,not available,15,15.0,metabolome_A_IBD_vs_HC,metabolome_A_IBD_vs_HC,<PROJECT_ROOT>\Figures Tables\核心指纹\04_mechanism_model_supported_features.xlsx,mechanism_model_supported,4,internal validation only unless external cohort is documented,Deoxycholate
Isobutyric acid,Isobutyric acid,metabolite__Isobutyric_acid,metabolome,Tier I,SCFAs / butyrate-producing taxa,butyrate-producing bacteria depletion,SCFAs / butyrate-producing taxa,manual project-defined mapping,resolved,Exact source category value mapped through project table: butyrate-producing bacteria depletion,?,unclear,,low,1,IBD diagnostic/onset-like; active inflammatory; treatment/state-shift if microbiome,direct comparison support,limited evidence,not available,not available,limited evidence,15,15.0,metabolome_A_IBD_vs_HC,metabolome_A_IBD_vs_HC,<PROJECT_ROOT>\Figures Tables\核心指纹\04_mechanism_model_supported_features.xlsx,mechanism_model_supported,5,internal validation only unless external cohort is documented,Isobutyric acid
Lysine,Lysine,metabolite__Lysine,metabolome,Tier I,Amino acids / aromatic amino acids,amino acid metabolism alteration,Amino acids / aromatic amino acids,manual project-defined mapping,resolved,Exact source category value mapped through project table: amino acid metabolism alteration,?,unclear,,moderate,2,IBD diagnostic/onset-like; active inflammatory; nutritional/metabolic intervention hypothesis,direct comparison support,limited evidence,not available,not available,not available,15,15.0,metabolome_A_IBD_vs_HC,metabolome_A_IBD_vs_HC,<PROJECT_ROOT>\Figures Tables\核心指纹\04_mechanism_model_supported_features.xlsx,mechanism_model_supported,6,internal validation only unless external cohort is documented,Lysine
Phenylacetic acid,Phenylacetic acid,metabolite__Phenylacetic_acid,metabolome,Tier I,Amino acids / aromatic amino acids,amino acid metabolism alteration,Amino acids / aromatic amino acids,manual project-defined mapping,resolved,Exact source category value mapped through project table: amino acid metabolism alteration,?,unclear,,moderate,2,IBD diagnostic/onset-like; active inflammatory; nutritional/metabolic intervention hypothesis,direct comparison support,limited evidence,not available,not available,not available,15,15.0,metabolome_A_IBD_vs_HC,metabolome_A_IBD_vs_HC,<PROJECT_ROOT>\Figures Tables\核心指纹\04_mechanism_model_supported_features.xlsx,mechanism_model_supported,7,internal validation only unless external cohort is documented,Phenylacetic acid
Phenylalanine,Phenylalanine,metabolite__Phenylalanine,metabolome,Tier I,Amino acids / aromatic amino acids,amino acid metabolism alteration,Amino acids / aromatic amino acids,manual project-defined mapping,resolved,Exact source category value mapped through project table: amino acid metabolism alteration,?,unclear,,low,1,IBD diagnostic/onset-like; active inflammatory; nutritional/metabolic intervention hypothesis,direct comparison support,limited evidence,not available,not available,not available,15,15.0,metabolome_A_IBD_vs_HC,metabolome_A_IBD_vs_HC,<PROJECT_ROOT>\Figures Tables\核心指纹\04_mechanism_model_supported_features.xlsx,mechanism_model_supported,8,internal validation only unless external cohort is documented,Phenylalanine
p-Hydroxyphenylacetic acid,p-Hydroxyphenylacetic acid,metabolite__p-Hydroxyphenylacetic_acid,metabolome,Tier I,Amino acids / aromatic amino acids,amino acid metabolism alteration,Amino acids / aromatic amino acids,manual project-defined mapping,resolved,Exact source category value mapped through project table: amino acid metabolism alteration,?,unclear,,moderate,2,IBD diagnostic/onset-like; active inflammatory; nutritional/metabolic intervention hypothesis,direct comparison support,limited evidence,not available,not available,not available,15,15.0,metabolome_A_IBD_vs_HC,A_IBD_vs_HC;metabolome_A_IBD_vs_HC,<PROJECT_ROOT>\Figures Tables\核心指纹\04_mechanism_model_supported_features.xlsx,mechanism_model_supported,9,internal validation only unless external cohort is documented,p-Hydroxyphenylacetic acid
Ruminococcus bicirculans / SGB4262,kSGB_4262:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans|t__SGB4262,microbe__kSGB_4262:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus_s__Ruminococcus_bicirculans_t__SGB4262__dup7,microbiome,Tier I,SCFAs / butyrate-producing taxa,butyrate-producing bacteria depletion,SCFAs / butyrate-producing taxa,manual project-defined mapping,resolved,Exact source category value mapped through project table: butyrate-producing bacteria depletion,?,unclear,,moderate,2,IBD diagnostic/onset-like; active inflammatory; treatment/state-shift if microbiome,limited anchor support,limited evidence,not available,not available,direct comparison support,15,14.9142857142857,microbiome_H_pre_vs_post_treatment,microbiome_H_pre_vs_post_treatment,<PROJECT_ROOT>\Figures Tables\核心指纹\04_mechanism_model_supported_features.xlsx,mechanism_model_supported,10,internal validation only unless external cohort is documented,Ruminococcus bicirculans / SGB4262
hydroxy stearic acid-C18:1 (metabolome),metabolome::metabolite__hydroxy_stearic_acid-C18:1,metabolome::metabolite__hydroxy_stearic_acid-C18:1,metabolome,Tier I,Oxidative stress-related lipids,oxidative stress related metabolism,Oxidative stress-related lipids,manual project-defined mapping,resolved,Exact source category value mapped through project table: oxidative stress related metabolism,?,unclear,,high,3,IBD diagnostic/onset-like; active inflammatory; relapse-prone residual risk hypothesis,direct comparison support,limited evidence,limited evidence,limited evidence,not available,15,14.7285714285714,integrated_A_IBD_vs_HC,integrated_A_IBD_vs_HC,<PROJECT_ROOT>\Figures Tables\核心指纹\04_mechanism_model_supported_features.xlsx,mechanism_model_supported,11,internal validation only unless external cohort is documented,hydroxy stearic acid-C18:1
